Proteins,ECC,GO,SubCell
YER112W,19.11534884,441.8880952,0
YER082C,27.05296118,306.0030497,0
YKR006C,30.53658537,270,210
YDL166C,27.6974042,296.4644994,0
YOL021C,22.17143157,370.0437368,0
YMR193W,30.33231707,266.5,0
YMR240C,24.55783432,328.5635642,0
YEL026W,14.03842184,358.6630952,572
YLR298C,24.9630458,318.5174603,0
YDR069C,27.73644653,282.1761905,0
YGR074W,21.93773268,355.1690476,0
YDL030W,22.6694412,342.4611111,0
YLR167W,52.96183749,145.8833333,0
YKR085C,30.83880742,249,0
YGR076C,30.83880742,249,0
YLR275W,24.87152493,306.5464286,0
YGR270W,27.97898404,270.5166667,0
YBR282W,30.36441197,249,210
YLR147C,20.01533325,376.602381,236
YBR119W,20.92459644,358.25,0
YHR165C,23.04690296,324.3527778,0
YHR089C,11.43121495,482.25,638
YNL252C,29.1347561,249,210
YDR088C,21.49682987,334.5,162
YKL012W,24.44360365,286.6353175,0
YPR182W,23.97998925,283.5107143,210
YOR272W,20.29200017,326.9997336,0
YKL167C,31.40863533,185.3333333,210
YPL235W,5.496691195,212.597619,1180
YOR319W,17.81685282,359.9166667,330
YPR057W,17.26694767,371.1666667,0
YHR027C,25.26230547,251.9577381,0
YDR243C,23.52171611,269.6353175,0
YGR013W,23.7068002,262.0607143,0
YNL005C,29.47554804,181.6666667,210
YER002W,10.65523817,569.6666667,0
YPR178W,23.0748704,253.690873,0
YGR220C,29.82402317,189.3333333,0
YPR144C,15.98500261,345.0928571,0
YNL178W,52.34629,103.7722222,0
YJL063C,29.70731707,182,0
YDR237W,29.85240675,179.3333333,0
YNL284C,29.96059389,178,0
YBR122C,29.19400157,179,0
YHR147C,30.36441197,165.4166667,0
YBL038W,30.36441197,165.4166667,0
YOR150W,30.36441197,154.0833333,0
YIL061C,13.85518316,337.3,0
YKL009W,13.07593394,354.6547619,0
YNL185C,31.2304878,148.0277778,0
YDL148C,19.79232035,223.0553086,0
YMR116C,41.89836348,104.9423465,0
YMR024W,30.73170732,140.8611111,0
YDR462W,31.02080988,138.5277778,0
YFR010W,18.35706731,232.0166667,0
YKR060W,11.52465348,365.3333333,0
YDR322W,29.82476568,134.6111111,0
YBR154C,15.65040536,237.7277778,168
YGR006W,18.31690204,202.2115079,0
YBR079C,9.313796369,257.1781746,394.5
YDL051W,10.3705518,348.5,0
YOR224C,15.689409,215.5714286,0
YDR116C,22.52174437,146.8333333,150
YER102W,51.65876664,62.18383838,0
YER131W,51.6598688,61.44206349,0
YDR115W,20.35713898,154,0
YML009C,20.29836688,153.6666667,0
YLR367W,53.4615242,54.32777778,0
YDR064W,53.4615242,54.32777778,0
YPR132W,53.4615242,54.32777778,0
YER074W,53.4615242,54.32777778,0
YPL081W,53.4615242,54.32777778,0
YOL040C,53.4615242,54.32777778,0
YLR287CA,53.4615242,54.32777778,0
YMR230W,53.4615242,54.32777778,0
YKL156W,53.4615242,54.32777778,0
YNL302C,53.4615242,54.32777778,0
YOL121C,53.4615242,54.32777778,0
YOR182C,53.4615242,54.32777778,0
YIL069C,53.4615242,54.32777778,0
YLR048W,53.4615242,54.32777778,0
YHR021C,53.4615242,54.32777778,0
YOR369C,53.4615242,54.32777778,0
YBR181C,53.4615242,54.32777778,0
YGR027C,53.4615242,54.32777778,0
YCR031C,53.4615242,54.32777778,0
YBR189W,53.4615242,54.32777778,0
YGL123W,53.4615242,54.32777778,0
YML024W,53.4615242,54.32777778,0
YOR293W,53.4615242,54.32777778,0
YMR143W,53.4615242,54.32777778,0
