YER075C,0.001117745,0.066666667,0.00169868,0,0.067247602
YMR138W,0.004456629,0.107142857,0,0,0.111599486
YNL206C,0.043208872,0.25,0.007389259,0.000757719,0.285819613
YBL041W,0,0,0,0,0
YGR062C,0.004597284,0.005847953,0.003920031,0,0.006525206
YLR452C,0.041457598,0.833333333,0.00297269,0,0.871818241
YOR217W,0.038839977,0.285714286,0.003397361,0,0.321156902
YGL156W,0,0,0,0,0
YJR119C,0,0,0,0,0
YPR152C,0,0,0,0,0
YNL104C,0,0,0,0,0
YPL244C,0,0,0,0,0
YOR114W,0,0,0,0,0
YNL138W-A,0,0,0,0,0
YLL046C,0,0,0,0,0
YOR355W,0.030854807,0.111111111,0,0,0.141965918
YHR161C,0,0,0,0,0
YBR061C,0.065256421,0.075098814,0.068992552,0,0.078834945
YDL192W,0,0,0,0,0
YNR050C,0,0,0,0,0
YLR254C,0.043488777,0.071428571,0.013375691,0,0.101541657
YER032W,0,0,0,0,0
YPR006C,0,0,0,0,0
YNL121C,0,0,0,0,0
YGR085C,0.092238319,0.087356322,0.032855198,0,0.146739443
YJR090C,0,0,0,0,0
YGR250C,0.074384667,0.196969697,0,0,0.271354364
YIR006C,0,0,0,0,0
YGR174C,0,0,0,0,0
YBR141C,0.004245431,0.1,0.000343003,0,0.103902428
YEL026W,0.056402646,0.087719298,0.006764776,0,0.137357168
YJL005W,0,0,0,0,0
YBR190W,0,0,0,0,0
YML043C,0.076629992,0.035650624,0.005519466,0,0.10676115
YBL002W,0.004895241,0.055555556,0.000803606,0,0.059647191
YDL113C,0.048618849,0.3,0.000980008,0,0.347638841
YJR058C,0.003278512,1,0.000470404,0,1.002808108
YMR274C,0.052440095,0.025369979,0.000828807,0,0.076981267
YGL181W,0,0,0,0,0
YKL194C,0,0,0,0,0
YHR049W,0,0,0,0,0
YPR135W,0,0,0,0,0
YBL094C,0.012455396,0.2,0.003449628,0,0.209005768
YBR045C,0,0,0,0,0
YOL031C,0,0,0,0,0
YLR379W,0.03016122,0.038095238,0.030184241,0,0.038118259
YHR199C,0,0,0,0,0
YAL004W,0,0,0,0,0
YAL063C-A,0,0,0,0,0
YBL063W,0,0,0,0,0
YOR204W,0.065612584,0.178571429,0.001017479,0,0.243166534
YGR140W,0,0,0,0,0
YAL013W,0.014050073,0.321428571,0.011368091,0,0.324110553
YJL151C,0,0,0,0,0
YPR032W,0.016825341,0.178571429,0.003077225,0,0.192319545
YBL040C,0,0,0,0,0
YGR031W,0,0,0,0,0
YCR107W,0,0,0,0,0
YHR195W,0,0,0,0,0
YNL148C,0.028260427,0.045454545,0.001829348,0,0.071885624
YHR064C,0,0,0,0,0
